main path	classification	rewrite mapping	status	notes
modules/users/sam/nixos-private.nix	modules/system/nix/secrets/_content.nix; modules/users/sam/{sam,_content}.nix	audited	ported	Hashed password and GitHub/GHCR secret declarations are retained with service/host gates.
modules/users/sam/sam-secrets.nix	modules/home/{sops,git,gpg}.nix	audited	ported	Personal Home Manager SOPS, Git, and GPG secret roots are retained by separate self-gated Home broadcast modules.
modules/users/sam/sam-syncthing.nix	modules/services/syncthing/syncthing.nix	audited	ported	Device topology, folder IDs, paths, versioning, and desktop/Steam Deck membership match.
modules/users/sam/sam.nix	modules/home/*.nix; modules/users/sam/{sam,_content}.nix	intentional broadcast architecture	The shared Sam account module and self-gated common Home broadcast modules replace variant user factories.
packages/cowsay/package.nix	pkgs.cowsay	intentional omission	The historical sleepy-cowsay example was never referenced by a main module; hosts continue to use nixpkgs cowsay.
resources/plans/rpi-family-alignment.md	docs/migration-plan.md	intentional documentation replacement	The rewrite migration and Pi design are documented in the current migration/architecture records.
scripts/bootstrap-enroll-remote.sh	scripts/bootstrap-enroll-remote.sh	audited	ported	Equivalent remote bootstrap enrollment wrapper.
scripts/bootstrap-target.sh	scripts/bootstrap-target.sh	audited	ported	Explicit lower-case output selection replaces inventory traversal and supports all declared bootstrap/image variants.
scripts/install-anywhere.sh	scripts/install-anywhere.sh	audited	ported	Equivalent nixos-anywhere bootstrap installation wrapper.
steamdeck-packages/SDH-AnimationChanger/README-AnimationChanger.md	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/animation-changer-enhanced.nix	audited	intentional package consolidation	Animation Changer is rebuilt through the shared Decky package framework.
steamdeck-packages/SDH-AnimationChanger/decky-animation-changer-enhanced-main.py	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/animation-changer-enhanced.nix	audited	intentional package consolidation	Same plugin behavior is packaged through the current source/patch derivation.
steamdeck-packages/SDH-AnimationChanger/decky-animation-changer-enhanced.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/animation-changer-enhanced.nix	audited	ported	Used by the Decky catalogue with the same animations and seeded settings.
steamdeck-packages/_packages.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	intentional package consolidation	The catalogue is now an explicit package map instead of exported package wrappers.
steamdeck-packages/css-theme-config-simple.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/css-loader.nix	audited	ported	CSS Loader themes are retained through declarative seeded settings.
steamdeck-packages/decky-animation-changer.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/animation-changer-enhanced.nix	audited	ported	Enhanced Animation Changer supersedes the old wrapper.
steamdeck-packages/decky-audio-loader.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	Audio Loader is packaged by the catalogue.
steamdeck-packages/decky-autoflatpaks.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	AutoFlatpaks is packaged by the catalogue.
steamdeck-packages/decky-autosuspend.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/autosuspend.nix	audited	ported	AutoSuspend patch and plugin package are retained.
steamdeck-packages/decky-bluetooth.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	Bluetooth plugin is packaged by the catalogue.
steamdeck-packages/decky-brightness-bar.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/brightness-bar.nix	audited	ported	Brightness Bar is retained.
steamdeck-packages/decky-css-loader.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/css-loader.nix	audited	ported	CSS Loader patch and declarative themes are retained.
steamdeck-packages/decky-free-loader.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/free-loader.nix	audited	ported	Free Loader patch and plugin package are retained.
steamdeck-packages/decky-isthereanydeal.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	IsThereAnyDeal is packaged by the catalogue.
steamdeck-packages/decky-kdeconnect.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	KDE Connect plugin is packaged by the catalogue.
steamdeck-packages/decky-lookup.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	Lookup plugin is packaged by the catalogue.
steamdeck-packages/decky-museck.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	Museck plugin is packaged by the catalogue.
steamdeck-packages/decky-protondb.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	ProtonDB plugin is packaged by the catalogue.
steamdeck-packages/decky-steamgriddb.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	SteamGridDB plugin is packaged by the catalogue.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	ported	Decky Syncthing package is retained.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/main.py	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/package.json	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/plugin.json	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/pnpm-lock.yaml	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/rollup.config.js	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/src/index.tsx	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/src/jsx-compat.d.ts	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-syncthing-jovian/decky-syncthing-jovian/tsconfig.json	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/syncthing.nix	audited	intentional package consolidation	Plugin source is fetched and packaged through the current derivation.
steamdeck-packages/decky-tabmaster.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	TabMaster plugin is packaged by the catalogue.
steamdeck-packages/decky-web-browser.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/catalog.nix	audited	ported	DeckWebBrowser plugin and both settings paths are retained.
steamdeck-packages/decky-xrgaming.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/xrgaming.nix	audited	ported	XRGaming patch and udev support are retained.
steamdeck-packages/flake.lock	flake.lock	intentional package consolidation	Decky dependencies are absorbed by the root flake lock.
steamdeck-packages/mkDeckyPlugin.nix	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/mk-plugin.nix	audited	ported	Equivalent shared Decky plugin builder.
steamdeck-packages/patches/decky-css-loader-main.py	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/css-loader.nix	audited	ported	CSS Loader patch is applied by the current package derivation.
steamdeck-packages/patches/decky-css-loader-nix-themes.patch	modules/platforms/steamdeck/_steamdeck/decky-catalog/packages/css-loader.nix	audited	ported	CSS Loader theme patch is applied by the current package derivation.
